row_number,term_code,subj_code,crse_numb,crse_title,crse_equiv,crse_text,note_row,crn,ptrm_code,seq_numb,schd_code,schd_type,schd_sort,credit_hrs,link_conn,start_date,end_date,sundays,mondays,tuesdays,wednesdays,thursdays,fridays,saturdays,times,locations,max_enrl,enrl,seats,wlist,perc_full,xlist_max,xlist_cur,instructors,tuition_code,tuition_desc,bill_hrs,note_bottom,notes_skill,crse_row_num,crse_row_total
1,202620,ACSC,3703,Actuarial Models I,202620-STAT-3703,,,20044,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,W,,F,,1435-1525,Studley CHASE BLDG 227,12,9,3,,75.0%,16,13,Smith B.,,,3,,[],1,3
2,202620,ACSC,3720,Life Contingencies I,202620-STAT-3720,,,20045,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,R,,,1005-1125,Studley LSC-COMMON AREA C220,15,9,6,,60.0%,40,14,Fullsack P.,,,3,,[],2,3
3,202620,ACSC,4950,Honours Research Project,,,R,20046,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,10,1,9,,10.0%,,,Smith B.,,,3,,[],3,3
1,202620,AGRI,1001,Mobility & Experiencial Prep,,,S,24512,1,01,L,Lec,1,0,,07-JAN-2026,09-APR-2026,,,,,,F,,1035-1225,Agricultural HALEY INSTITUTE 112,16,12,4,,75.0%,,,Gordon M.,,,0,Students taking ANSC 3007 are required to attend this course prior to travel and should reach out to the instructor prior to registration.,[],1,26
2,202620,AGRI,2002,Mi'kmaw Natural Resources,,,,20047,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,W,,,,1605-1725,Agricultural AGRICULTURAL COX INSTITUTE 354,30,33,-3,,FULL,,,Galloway-Jones J.,,,3,This course may have a field trip component.,[],2,26
3,202620,AGRI,3001,Issues in Agric Health&Safety,,,,20049,1,99,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,50,35,15,,70.0%,,,Grant-Bennett A.,,,3,,[],3,26
4,202620,AGRI,4001,"Agriculture, Food & Well Being",,,,20051,1,99,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Online-ASYNCHRONOUS SESSION,30,22,8,,73.3%,40,28,Kevany K.,,,3,All students register in Section 99,[],4,26
5,202620,AGRI,5230,Dir St in Env. Sciences,,,R,23096,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,9,6,,60.0%,,,MacDonald M.,,,3,,[],5,26
6,202620,AGRI,5230,Dir St in Env. Sciences,,,S R,24506,2,02,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,5,1,4,,20.0%,,,Hammermeister A.,,,3,,[],5,26
7,202620,AGRI,5270,Economic Entomology,,,R,24419,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,W,,,,1435-1555,Agricultural AGRICULTURAL COX INSTITUTE 356,10,7,3,,70.0%,,,Cutler C.,,,3,,[],6,26
