ROW_NUMBER,TERM_CODE,SUBJ_CODE,CRSE_NUMB,CRSE_TITLE,CRSE_EQUIV,CRSE_TEXT,NOTE_ROW,CRN,PTRM_CODE,SEQ_NUMB,SCHD_CODE,SCHD_TYPE,SCHD_SORT,CREDIT_HRS,LINK_CONN,START_DATE,END_DATE,SUNDAYS,MONDAYS,TUESDAYS,WEDNESDAYS,THURSDAYS,FRIDAYS,SATURDAYS,TIMES,LOCATIONS,MAX_ENRL,ENRL,SEATS,WLIST,PERC_FULL,XLIST_MAX,XLIST_CUR,INSTRUCTORS,TUITION_CODE,TUITION_DESC,BILL_HRS,NOTE_BOTTOM,NOTES_SKILL,CRSE_ROW_NUM,CRSE_ROW_TOTAL
1,202620,CSCI,1105,Intro to Computer Programming,,,R ,20698,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,1305-1425,Studley KENNETH C ROWE MANAGEMENT 1007,50,38,12,,  76.0%,,,Poitras E. ,,,3,Students should not register for CSCI 1105 and CSCI 1110 in the same term. ,[],1,109
2,202620,CSCI,1105,Intro to Computer Programming,,,S ,20699,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,0,15,,   0.0%,,,Staff,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],1,109
3,202620,CSCI,1105,Intro to Computer Programming,,,,20700,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,1135-1255,Studley MONA CAMPBELL BUILDING 1201,50,38,12,,  76.0%,,,Staff,,,0,,[],1,109
4,202620,CSCI,1107,Social Computing,,,S ,20701,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,0,15,,   0.0%,,,Staff,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],2,109
5,202620,CSCI,1108,Experimental Robotics,,,R ,20702,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,,W,,F,,1005-1125,Studley KENNETH C ROWE MANAGEMENT 1014,60,16,44,,  26.7%,,,Sajjad H. ,,,3,,[],3,109
6,202620,CSCI,1108,Experimental Robotics,,,,20703,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,T,,R,,,1435-1555,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,60,16,44,,  26.7%,,,Staff,,,0,,[],3,109
7,202620,CSCI,1109,Practical Data Science,,,R ,20704,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,M,,W,,,,1135-1255,Studley CHEMISTRY 125,50,22,28,,  44.0%,,,Marchand Y. ,,,3,,[],4,109
8,202620,CSCI,1109,Practical Data Science,,,R ,20705,1,02,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,0835-0955,Studley LSC-COMMON AREA C208,50,8,42,,  16.0%,,,Rudzicz F. ,,,3,,[],4,109
9,202620,CSCI,1109,Practical Data Science,,,S ,20706,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,0,15,,   0.0%,,,Staff,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],4,109
10,202620,CSCI,1109,Practical Data Science,,,,20707,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,T,,,,,1435-1555,Studley MONA CAMPBELL BUILDING 1201,50,6,44,,  12.0%,,,Staff,,,0,,[],4,109
11,202620,CSCI,1109,Practical Data Science,,,,20708,1,B02,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,R,,,1135-1255,Studley MONA CAMPBELL BUILDING 1201,50,24,26,,  48.0%,,,Staff,,,0,,[],4,109
12,202620,CSCI,1110,Intro to Computer Science,,,R ,20711,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,1305-1425,Studley GOLDBERG COMPUTER SCIENCE BLDG 127,100,87,13,-1,  87.0%,,,Tang Y. ,,,3,Students not familiar with programming in Java should consider enrolling in CSCI 1105 before CSCI 1110. ,[],5,109
13,202620,CSCI,1110,Intro to Computer Science,,,R ,20712,1,02,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,0835-0955,Studley LSC-COMMON AREA C220,45,36,9,0,  80.0%,,,Shakeri H. ,,,3,,[],5,109
14,202620,CSCI,1110,Intro to Computer Science,,,S R ,20713,1,40,L,Lec,1,3,B2,07-JAN-2026,09-APR-2026,,,T,,R,,,1435-1555,Agricultural BANTING BUILDING 32,15,7,8,0,  46.7%,,,Farion C. ,,,3,,[],5,109
15,202620,CSCI,1110,Intro to Computer Science,,,S ,20714,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,1,14,,   6.7%,,,Wijethunga R. ,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],5,109
